Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022
Kentucky,2471693,2558304,2658979,47026,51561,51921,73.5,75.5,75.3,0.47,0.039,0.255,0.158,0.014,0.064,0.445,0.043,0.289,0.154,0.012,0.056,115.38,4339367,4505836,40.2,9.3,253.8,38.0,9.7,3.5,11.7,10528.0,235.6,9758.0,218.4,770.0,17.2,2790,1716,783,13714,22053,13818
Louisiana,2592841,2694974,2784711,50243,54531,54501,73.1,75.7,75.6,0.418,0.049,0.293,0.137,0.014,0.089,0.407,0.047,0.32,0.136,0.015,0.075,108.67,4533372,4657757,36.8,7.8,264.0,37.7,8.2,3.8,11.4,12557.0,270.1,12261.0,263.7,296.0,6.4,3459,4914,2127,22368,23153,10601
Maine,813101,849493,877326,54301,58687,60599,77.8,78.3,78.6,0.465,0.057,0.2,0.183,0.015,0.081,0.487,0.066,0.195,0.185,0.014,0.054,44.5,1328361,1362359,42.6,12.4,187.6,31.5,7.8,2.5,8.7,4459.0,331.7,3691.0,274.6,768.0,57.1,1017,561,639,1769,4347,3875
Maryland,3621705,3750161,3886891,64825,69052,70228,76.8,78.5,78.5,0.547,0.054,0.187,0.133,0.019,0.059,0.53,0.056,0.203,0.132,0.019,0.061,648.84,5773552,6177224,47.9,9.1,217.9,31.7,4.9,2.5,9.8,23791.0,393.5,22915.0,379.0,876.0,14.5,3399,2790,849,17226,10650,5987
Massachusetts,4600264,4777326,5002244,77393,83461,84561,79.0,80.4,80.1,0.559,0.054,0.221,0.131,0.005,0.03,0.547,0.06,0.232,0.134,0.004,0.025,919.82,6547629,7029917,48.9,10.3,168.2,25.6,4.4,2.1,7.4,32116.0,466.0,31123.0,451.5,990.0,14.4,3909,2421,756,18853,8186,9989
Michigan,5387741,5601637,5864009,52786,56601,57038,76.0,78.0,77.7,0.509,0.052,0.217,0.159,0.006,0.058,0.5,0.049,0.235,0.159,0.005,0.051,179.26,9883640,10077331,38.2,11.3,250.0,31.9,7.3,3.0,9.6,30040.0,300.8,24534.0,245.7,5499.0,55.1,4251,4335,2025,37989,33854,19193
Minnesota,3607496,3711807,3844786,61278,66846,68840,79.1,80.4,80.5,0.578,0.052,0.169,0.147,0.007,0.048,0.559,0.055,0.185,0.153,0.006,0.043,73.18,5303925,5706494,44.5,8.3,166.2,26.3,4.0,2.2,7.8,17617.0,312.4,16702.0,296.2,915.0,16.2,2673,2577,1680,12675,10065,7544
Mississippi,1573290,1625695,1674142,42513,46577,46370,71.9,74.4,74.6,0.422,0.047,0.242,0.142,0.018,0.129,0.421,0.055,0.24,0.145,0.02,0.119,63.07,2967297,2961279,37.3,9.8,299.6,41.2,8.8,2.7,13.4,5857.0,196.8,5370.0,180.4,487.0,16.4,1236,2238,1809,16039,18507,10467
Missouri,3692620,3796384,3934395,52095,56073,57818,75.1,76.9,76.6,0.52,0.057,0.144,0.164,0.013,0.101,0.521,0.062,0.147,0.164,0.013,0.093,90.26,5988927,6154913,43.8,10.2,238.1,28.0,7.9,2.8,9.0,18297.0,298.1,14888.0,242.6,3408.0,55.5,5193,5424,1161,22531,20036,13811
Montana,684052,716176,746194,53546,58344,60984,76.8,78.4,78.7,0.43,0.08,0.208,0.181,0.018,0.083,0.437,0.084,0.198,0.176,0.025,0.08,7.64,989415,1084225,40.6,10.0,199.9,26.1,5.9,2.1,6.4,2750.0,257.3,2474.0,231.5,276.0,25.8,1050,501,900,3689,5394,2864
