State,County,Count
IL,Kane County,566
IL,Kankakee County,406
IL,Kendall County,656
IL,Knox County,1947
IL,LaSalle County,406
IL,Livingston County,1595
IL,McDonough County,406
IL,McHenry County,472
IL,McLean County,808
IL,Macoupin County,406
IL,Mason County,2175
IL,Massac County,406
IL,Menard County,656
IL,Mercer County,2318
IL,Moultrie County,406
IL,Ogle County,406
IL,Peoria County,406
IL,Piatt County,406
IL,Putnam County,1755
IL,Richland County,1246
IL,Rock Island County,406
IL,Sangamon County,406
IL,Schuyler County,840
IL,Stark County,786
IL,Stephenson County,406
IL,Tazewell County,757
IL,Vermilion County,406
IL,Wabash County,659
IL,Warren County,3472
IL,Wayne County,3651
IL,Whiteside County,406
IL,Will County,406
IL,Williamson County,656
IL,Winnebago County,730
IL,Woodford County,742
IN,Allen County,1180
IN,Bartholomew County,253
IN,Blackford County,253
IN,Daviess County,589
IN,Dearborn County,253
IN,Decatur County,606
IN,Delaware County,1524
IN,Dubois County,253
IN,Elkhart County,253
IN,Floyd County,1272
IN,Fountain County,253
IN,Gibson County,253
IN,Harrison County,1781
IN,Hendricks County,253
IN,Huntington County,253
IN,Jay County,253
IN,Jennings County,253
IN,Kosciusko County,253
IN,LaGrange County,253
IN,LaPorte County,253
IN,Martin County,1455
IN,Miami County,838
IN,Noble County,567
IN,Ohio County,937
IN,Owen County,589
IN,Parke County,253
IN,Porter County,253
IN,Posey County,253
IN,Ripley County,253
IN,Rush County,524
IN,St. Joseph County,672
IN,Spencer County,589
IN,Starke County,253
IN,Steuben County,687
IN,Sullivan County,1270
IN,Switzerland County,253
IN,Tippecanoe County,253
IN,Tipton County,253
IN,Vanderburgh County,253
IN,Vermillion County,253
IN,Vigo County,253
IN,Warrick County,253
IN,Wells County,319
IN,Whitley County,589
IA,Adair County,418
IA,Allamakee County,82
IA,Appanoose County,82
IA,Audubon County,82
IA,Black Hawk County,82
IA,Bremer County,82
IA,Buchanan County,433
IA,Buena Vista County,82
IA,Cedar County,82
IA,Cerro Gordo County,82
IA,Chickasaw County,258
IA,Clayton County,82
IA,Davis County,260
IA,Des Moines County,82
IA,Dickinson County,772
IA,Dubuque County,82
IA,Emmet County,501
IA,Guthrie County,82
IA,Ida County,82
IA,Iowa County,324
IA,Jones County,825
IA,Keokuk County,82
IA,Kossuth County,82
IA,Linn County,720
IA,Louisa County,433
IA,Lucas County,402
IA,Lyon County,1401
IA,Mahaska County,82
IA,Mills County,332
IA,Mitchell County,925
IA,Monona County,82
