Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022,Dist_Per_100K_2021_x,Distributed_Per_100k_65Plus_2021_x,Admin_Per_100K_2021_x,Admin_Per_100k_65Plus_2021_x,Administered_Dose1_Pop_Pct_2021_x,Administered_Dose1_Recip_65PlusPop_Pct_2021_x,Series_Complete_Pop_Pct_2021_x,Series_Complete_65PlusPop_Pct_2021_x,Additional_Doses_Vax_Pct_2021_x,Additional_Doses_50Plus_Vax_Pct_2021_x,Additional_Doses_65Plus_Vax_Pct_2021_x,Dist_Per_100K_2022_x,Distributed_Per_100k_65Plus_2022_x,Admin_Per_100K_2022_x,Admin_Per_100k_65Plus_2022_x,Administered_Dose1_Pop_Pct_2022_x,Administered_Dose1_Recip_65PlusPop_Pct_2022_x,Series_Complete_Pop_Pct_2022_x,Series_Complete_65PlusPop_Pct_2022_x,Additional_Doses_Vax_Pct_2022_x,Additional_Doses_50Plus_Vax_Pct_2022_x,Additional_Doses_65Plus_Vax_Pct_2022_x,Second_Booster_50Plus_Vax_Pct_x,Second_Booster_65Plus_Vax_Pct_x,Bivalent_Booster_65Plus_Pop_Pct_x,astha_prevalence,Dist_Per_100K_2021_y,Distributed_Per_100k_65Plus_2021_y,Admin_Per_100K_2021_y,Admin_Per_100k_65Plus_2021_y,Administered_Dose1_Pop_Pct_2021_y,Administered_Dose1_Recip_65PlusPop_Pct_2021_y,Series_Complete_Pop_Pct_2021_y,Series_Complete_65PlusPop_Pct_2021_y,Additional_Doses_Vax_Pct_2021_y,Additional_Doses_50Plus_Vax_Pct_2021_y,Additional_Doses_65Plus_Vax_Pct_2021_y,Dist_Per_100K_2022_y,Distributed_Per_100k_65Plus_2022_y,Admin_Per_100K_2022_y,Admin_Per_100k_65Plus_2022_y,Administered_Dose1_Pop_Pct_2022_y,Administered_Dose1_Recip_65PlusPop_Pct_2022_y,Series_Complete_Pop_Pct_2022_y,Series_Complete_65PlusPop_Pct_2022_y,Additional_Doses_Vax_Pct_2022_y,Additional_Doses_50Plus_Vax_Pct_2022_y,Additional_Doses_65Plus_Vax_Pct_2022_y,Second_Booster_50Plus_Vax_Pct_y,Second_Booster_65Plus_Vax_Pct_y,Bivalent_Booster_65Plus_Pop_Pct_y,Mask_Mandate,Mandatory,Current President,Your State Governor,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,"Been in a room with someone outside of 
 household in the past 24 hours","Yes, 5-10 people","Yes, 11-50 people","Yes, 50 or more people",all_causes_2020,all_causes_2021,all_causes_2022,covid_2020,covid_2021,covid_2022,Covid_pop_perce_2020,Covid_pop_perce_2021,Covid_pop_perce_2022
Massachusetts,4600264,4777326,5002244,77393,83461,84561,79.0,80.4,80.1,0.559,0.054,0.221,0.131,0.005,0.03,0.547,0.06,0.232,0.134,0.004,0.025,919.82,6547629,7029917,48.9,10.3,168.2,25.6,4.4,2.1,7.4,32116.0,466.0,31123.0,451.5,990.0,14.4,3909,2421,756,18853,8186,9989,212958,1255260,189036,260842,90.8,95.0,74.7,92.8,38.7,53.4,62.7,327029,1927640,257747,382085,95.0,95.0,83.8,95.0,56.1,68.4,74.8,54.8,62.7,58.2,False,212958,1255260,189036,260842,90.8,95.0,74.7,92.8,38.7,53.4,62.7,327029,1927640,257747,382085,95.0,95.0,83.8,95.0,56.1,68.4,74.8,54.8,62.7,58.2,05/06/2020,1,37.29186285,78.82541395,24.38,0.99,7.37,5.24,4.3,0.63,2.31,71.5,76.01,80.92,65.23,21.9,6.71,0.96,0.23,9008,3922,4553,8171,3580,3670,0.0011623181326322,0.0005092521007004,0.000522054527813
Michigan,5387741,5601637,5864009,52786,56601,57038,76.0,78.0,77.7,0.509,0.052,0.217,0.159,0.006,0.058,0.5,0.049,0.235,0.159,0.005,0.051,179.26,9883640,10077331,38.2,11.3,250.0,31.9,7.3,3.0,9.6,30040.0,300.8,24534.0,245.7,5499.0,55.1,4251,4335,2025,37989,33854,19193,180379,1020400,140361,234539,63.5,94.6,56.9,86.4,41.9,56.7,67.3,282332,1597150,184241,324496,69.3,95.0,62.2,91.2,58.4,71.7,79.7,54.0,62.2,42.0,False,180379,1020400,140361,234539,63.5,94.6,56.9,86.4,41.9,56.7,67.3,282332,1597150,184241,324496,69.3,95.0,62.2,91.2,58.4,71.7,79.7,54.0,62.2,42.0,10/05/2020,1,38.7530223,63.64501204,21.91,0.54,4.17,3.38,4.3,0.75,0.74,75.39,80.21,81.26,60.12,21.39,3.16,0.82,0.7,16570,15656,8809,11721,13114,7234,0.001163105588176,0.0013013366336781,0.0007178488034182
Minnesota,3607496,3711807,3844786,61278,66846,68840,79.1,80.4,80.5,0.578,0.052,0.169,0.147,0.007,0.048,0.559,0.055,0.185,0.153,0.006,0.043,73.18,5303925,5706494,44.5,8.3,166.2,26.3,4.0,2.2,7.8,17617.0,312.4,16702.0,296.2,915.0,16.2,2673,2577,1680,12675,10065,7544,192164,1177480,162478,263386,71.5,95.0,65.5,94.7,46.5,64.9,75.8,310037,1899750,222248,387589,78.5,95.0,71.9,95.0,62.8,78.5,86.1,65.1,73.3,59.1,False,192164,1177480,162478,263386,71.5,95.0,65.5,94.7,46.5,64.9,75.8,310037,1899750,222248,387589,78.5,95.0,71.9,95.0,62.8,78.5,86.1,65.1,73.3,59.1,07/25/2020,1,45.61428607,71.86125734,27.77,0.29,8.81,4.11,3.22,0.0,2.72,66.78,75.85,77.64,44.36,25.92,5.43,1.25,0.64,5947,4652,3419,5166,3891,2713,0.0009052844005443,0.0006818547430348,0.0004754232633907
Mississippi,1573290,1625695,1674142,42513,46577,46370,71.9,74.4,74.6,0.422,0.047,0.242,0.142,0.018,0.129,0.421,0.055,0.24,0.145,0.02,0.119,63.07,2967297,2961279,37.3,9.8,299.6,41.2,8.8,2.7,13.4,5857.0,196.8,5370.0,180.4,487.0,16.4,1236,2238,1809,16039,18507,10467,154010,941780,113848,210412,55.3,89.1,48.1,81.7,24.8,37.3,48.2,234096,1431510,142742,269552,61.5,93.6,53.6,86.0,40.9,56.8,66.7,37.3,43.2,18.4,False,154010,941780,113848,210412,55.3,89.1,48.1,81.7,24.8,37.3,48.2,234096,1431510,142742,269552,61.5,93.6,53.6,86.0,40.9,56.8,66.7,37.3,43.2,18.4,,0,45.814835,56.12251615,33.06,2.58,14.79,6.85,3.68,2.37,0.13,57.3,63.66,81.78,54.11,27.52,6.34,1.86,0.89,6993,8126,4510,4940,5871,3063,0.0016681980995373,0.0019825892798348,0.0010343503600977
Missouri,3692620,3796384,3934395,52095,56073,57818,75.1,76.9,76.6,0.52,0.057,0.144,0.164,0.013,0.101,0.521,0.062,0.147,0.164,0.013,0.093,90.26,5988927,6154913,43.8,10.2,238.1,28.0,7.9,2.8,9.0,18297.0,298.1,14888.0,242.6,3408.0,55.5,5193,5424,1161,22531,20036,13811,161161,931338,132149,224822,62.4,93.8,53.1,82.4,33.8,47.5,58.1,244287,1411710,168455,302662,69.1,95.0,58.8,88.4,47.2,61.5,71.0,50.8,58.1,36.2,False,161161,931338,132149,224822,62.4,93.8,53.1,82.4,33.8,47.5,58.1,244287,1411710,168455,302662,69.1,95.0,58.8,88.4,47.2,61.5,71.0,50.8,58.1,36.2,,0,50.26974148,60.48049977,28.58,0.92,11.5,8.09,5.77,0.45,0.52,57.1,73.3,80.01,45.23,31.69,8.54,1.86,1.41,10049,9365,6147,7616,8059,4630,0.001237385483759,0.0013093605059892,0.0007522445889974
Montana,684052,716176,746194,53546,58344,60984,76.8,78.4,78.7,0.43,0.08,0.208,0.181,0.018,0.083,0.437,0.084,0.198,0.176,0.025,0.08,7.64,989415,1084225,40.6,10.0,199.9,26.1,5.9,2.1,6.4,2750.0,257.3,2474.0,231.5,276.0,25.8,1050,501,900,3689,5394,2864,161588,836582,135133,229758,62.1,93.3,54.0,84.2,39.8,54.3,63.4,243902,1262750,171298,307419,68.0,95.0,59.0,89.1,52.1,66.0,73.9,51.6,58.4,35.0,False,161588,836582,135133,229758,62.1,93.3,54.0,84.2,39.8,54.3,63.4,243902,1262750,171298,307419,68.0,95.0,59.0,89.1,52.1,66.0,73.9,51.6,58.4,35.0,07/15/2020,1,50.01686517,58.74981819,36.29,1.09,14.46,7.05,10.45,2.21,2.22,50.66,64.07,69.66,31.81,42.28,10.3,2.11,0.0,1609,2351,1168,1138,1659,640,0.0010495976388664,0.0015301252046392,0.0005902833821393
Nebraska,1305651,1334434,1372111,56733,62682,64268,77.7,79.2,79.1,0.568,0.069,0.126,0.142,0.016,0.079,0.553,0.067,0.149,0.142,0.018,0.07,26.06,1826341,1961504,47.6,8.1,194.2,28.9,5.2,2.2,9.2,4820.0,249.2,4537.0,234.5,283.0,14.6,1701,1392,756,5520,3752,3298,176676,1093790,147694,253230,66.4,95.0,59.9,90.4,40.1,57.6,68.2,270319,1673530,193113,349164,73.1,95.0,66.0,95.0,55.1,71.7,80.2,55.5,63.4,41.8,False,176676,1093790,147694,253230,66.4,95.0,59.9,90.4,40.1,57.6,68.2,270319,1673530,193113,349164,73.1,95.0,66.0,95.0,55.1,71.7,80.2,55.5,63.4,41.8,,0,53.27967789,62.50907636,35.42,2.97,14.25,6.52,4.23,1.91,1.03,56.43,65.71,78.06,42.17,35.56,6.29,2.75,0.53,2495,1733,1436,1965,1447,1010,0.0010017823058224,0.0007376992348728,0.0005149110070639
Nevada,1770886,1912872,2061871,54650,61024,62085,76.3,78.0,77.9,0.495,0.055,0.178,0.14,0.017,0.115,0.463,0.06,0.208,0.141,0.015,0.114,29.38,2700551,3104614,30.7,9.3,252.2,30.5,7.3,2.7,9.9,6731.0,218.5,5648.0,183.4,1083.0,35.2,2805,1014,516,8988,13442,7256,165471,1027630,140524,222076,69.6,95.0,56.5,81.3,29.4,44.2,54.7,240693,1494790,178752,297854,77.3,95.0,63.5,88.9,43.5,59.6,68.3,46.9,54.6,32.3,False,165471,1027630,140524,222076,69.6,95.0,56.5,81.3,29.4,44.2,54.7,240693,1494790,178752,297854,77.3,95.0,63.5,88.9,43.5,59.6,68.3,46.9,54.6,32.3,06/24/2020,1,41.50102248,60.44032705,24.66,0.43,7.91,4.88,6.09,1.19,3.78,66.91,77.87,86.0,53.92,20.06,4.3,1.18,1.36,4019,6241,3229,3069,5281,2431,0.0009885286866579,0.0017010166159142,0.0007830280994674
New Hampshire,858471,894739,933022,67883,72214,73910,79.0,79.4,79.1,0.562,0.053,0.132,0.177,0.012,0.064,0.577,0.05,0.135,0.176,0.012,0.05,155.91,1316470,1377529,45.4,11.3,185.0,28.1,5.4,2.4,8.0,4391.0,322.9,3996.0,293.9,395.0,29.1,1011,879,453,2019,2104,2948,216114,1157520,176911,263865,95.0,95.0,67.3,92.5,14.4,18.3,19.8,356299,1908360,213731,350009,87.5,95.0,71.5,95.0,54.4,66.0,73.3,51.3,60.5,50.7,False,216114,1157520,176911,263865,95.0,95.0,67.3,92.5,14.4,18.3,19.8,356299,1908360,213731,350009,87.5,95.0,71.5,95.0,54.4,66.0,73.3,51.3,60.5,50.7,11/20/2020,1,39.45072947,72.76966438,28.52,0.29,7.71,6.38,2.96,0.08,0.32,66.26,76.93,81.28,54.49,27.94,5.84,2.95,0.53,878,972,1202,615,812,658,0.0004464515810556,0.0005894612744994,0.000477666894853
New Jersey,5319454,5585214,5905843,70957,76079,77199,77.5,80.1,79.8,0.557,0.054,0.166,0.138,0.005,0.079,0.546,0.057,0.184,0.138,0.004,0.072,1283.4,8791894,9288994,38.0,8.4,202.7,33.0,5.2,52.1,9.5,27832.0,313.3,24622.0,277.2,3208.0,36.1,7344,6069,1227,43504,15279,12623,210259,1265690,168844,238218,83.9,95.0,70.6,89.9,34.2,48.6,58.1,317756,1912780,219584,324072,94.3,95.0,78.8,95.0,51.6,64.9,72.2,44.9,53.7,35.1,True,210259,1265690,168844,238218,83.9,95.0,70.6,89.9,34.2,48.6,58.1,317756,1912780,219584,324072,94.3,95.0,78.8,95.0,51.6,64.9,72.2,44.9,53.7,35.1,07-08-2020,1,39.62580678,66.61313696,22.15,1.24,9.04,5.41,6.84,0.6,2.7,76.9,81.66,81.76,78.33,21.26,5.09,1.18,0.26,19883,7487,5937,16145,7182,5188,0.0017380784183949,0.0007731730691181,0.000558510426425
New Mexico,1069531,1092639,1139488,46631,51141,52194,74.5,76.9,77.2,0.366,0.04,0.327,0.15,0.018,0.098,0.34,0.044,0.344,0.156,0.016,0.1,17.6,2059179,2117522,40.7,8.3,204.0,28.9,5.0,3.3,11.0,5269.0,251.3,4929.0,235.1,340.0,16.2,1473,1431,1182,8745,11169,6630,180669,1003250,164701,245883,80.9,95.0,66.3,91.0,39.3,54.9,62.4,282077,1566360,221732,353948,93.8,95.0,74.9,95.0,54.3,66.9,72.4,56.0,63.7,47.5,False,180669,1003250,164701,245883,80.9,95.0,66.3,91.0,39.3,54.9,62.4,282077,1566360,221732,353948,93.8,95.0,74.9,95.0,54.3,66.9,72.4,56.0,63.7,47.5,05/16/2020,1,46.1695122,66.35246641,31.33,2.13,15.58,7.82,2.58,4.09,1.4,61.79,78.23,82.5,48.0,38.47,12.14,0.41,0.23,3814,4888,2863,2697,3495,1959,0.0012736585499465,0.001650514138696,0.0009251379678699
New York,11871619,12227874,12892046,69873,75948,75407,77.7,80.7,80.5,0.498,0.058,0.257,0.13,0.004,0.053,0.476,0.059,0.276,0.133,0.004,0.052,433.9,19378102,20201249,43.5,9.3,208.1,27.1,5.2,2.3,9.4,75749.0,389.4,71442.0,367.2,4300.0,22.1,4704,5727,1731,39043,29370,20644,200845,1185370,176840,241418,84.2,95.0,71.9,88.8,33.1,48.2,58.4,301630,1780200,228333,327336,94.1,95.0,80.5,95.0,48.7,63.2,71.0,45.1,54.1,37.0,False,200845,1185370,176840,241418,84.2,95.0,71.9,88.8,33.1,48.2,58.4,301630,1780200,228333,327336,94.1,95.0,80.5,95.0,48.7,63.2,71.0,45.1,54.1,37.0,04/17/2020,1,36.2417933,69.47577382,12.89,1.07,3.81,3.79,4.22,1.7,2.73,80.17,80.41,83.82,77.42,21.31,3.55,1.09,0.5,17868,13819,9431,14561,12087,7649,0.0007207970160656,0.0005983293409234,0.0003786399543909
North Carolina,6054937,6318605,6602041,51781,56705,58109,76.1,77.6,77.6,0.463,0.067,0.179,0.153,0.024,0.114,0.46,0.069,0.188,0.155,0.025,0.104,220.3,9535483,10439388,47.1,8.2,212.1,32.4,7.0,3.6,10.6,27650.0,263.6,26024.0,248.1,1626.0,15.5,4542,3357,1641,25087,41485,28192,179568,1075510,142771,234140,76.7,95.0,56.8,84.8,20.3,29.0,34.5,275481,1649980,183169,316458,91.6,95.0,66.8,95.0,31.6,41.0,45.9,33.0,36.5,35.6,False,179568,1075510,142771,234140,76.7,95.0,56.8,84.8,20.3,29.0,34.5,275481,1649980,183169,316458,91.6,95.0,66.8,95.0,31.6,41.0,45.9,33.0,36.5,35.6,06/24/2020,1,47.80062006,59.18365387,26.75,0.98,10.38,7.53,10.05,0.87,1.76,66.88,70.54,82.23,44.16,24.79,4.96,2.0,0.39,11066,18745,12024,8111,14750,7880,0.0007769612548168,0.0014129180752741,0.0007548335208922
North Dakota,560448,567834,587819,61091,65895,70360,76.9,78.8,79.3,0.557,0.09,0.122,0.138,0.021,0.074,0.575,0.079,0.098,0.144,0.027,0.077,11.75,672591,779094,46.1,8.2,198.6,28.4,4.9,2.5,8.3,1826.0,239.6,1722.0,226.0,104.0,13.6,1161,822,1341,3384,1605,975,156168,993033,133326,238614,62.3,95.0,52.6,84.5,36.5,53.5,64.8,238747,1518130,169041,317086,69.1,95.0,58.4,91.4,48.3,64.2,73.9,48.9,55.9,42.4,False,156168,993033,133326,238614,62.3,95.0,52.6,84.5,36.5,53.5,64.8,238747,1518130,169041,317086,69.1,95.0,58.4,91.4,48.3,64.2,73.9,48.9,55.9,42.4,11/14/2020,1,52.92239742,66.06417743,43.51,1.23,22.98,8.52,3.98,0.48,0.0,45.77,59.67,67.59,25.32,42.43,12.97,2.58,0.4,1550,757,419,1266,666,282,0.0016249643817049,0.0008548390823186,0.0003619588907115
Ohio,6852979,7048306,7305177,52879,57026,57777,75.3,76.9,76.8,0.526,0.04,0.2,0.159,0.008,0.067,0.507,0.044,0.216,0.16,0.008,0.065,290.7,11536504,11799448,40.4,11.3,247.8,31.5,8.1,2.8,10.3,35333.0,302.3,30747.0,263.0,4583.0,39.2,12048,6849,405,36581,41610,22534,169559,968563,136764,234510,60.5,91.2,55.3,86.1,41.5,56.0,66.3,258135,1474540,177234,319688,65.5,94.5,60.3,89.4,56.3,70.9,79.7,53.6,61.3,38.6,False,169559,968563,136764,234510,60.5,91.2,55.3,86.1,41.5,56.0,66.3,258135,1474540,177234,319688,65.5,94.5,60.3,89.4,56.3,70.9,79.7,53.6,61.3,38.6,07/23/2020,1,52.76282814,82.11979606,30.21,0.79,7.15,5.61,5.59,1.37,1.9,69.93,74.65,81.7,44.11,24.83,5.8,1.31,0.45,16808,19739,10595,13843,17607,9250,0.001173190474673,0.0014921884481375,0.0007839349772972
Oklahoma,2266945,2314387,2412886,50249,55165,56298,74.1,75.7,75.6,0.455,0.055,0.17,0.151,0.02,0.149,0.429,0.055,0.201,0.155,0.023,0.138,58.63,3751351,3959353,42.9,10.3,285.7,35.5,8.1,3.6,11.1,8293.0,209.6,6474.0,163.6,1815.0,45.9,2187,3693,1587,13180,18822,13561,158151,985305,134545,233955,66.1,95.0,53.6,84.5,30.1,44.7,55.8,235254,1465670,168324,307566,74.3,95.0,60.2,93.1,41.4,56.7,66.3,43.0,49.9,32.4,False,158151,985305,134545,233955,66.1,95.0,53.6,84.5,30.1,44.7,55.8,235254,1465670,168324,307566,74.3,95.0,60.2,93.1,41.4,56.7,66.3,43.0,49.9,32.4,,0,52.21829413,52.61370838,33.28,0.74,14.45,7.5,7.17,1.96,1.06,58.34,66.18,78.4,41.41,35.39,5.45,2.22,1.46,5937,8708,5960,4631,7302,4319,0.0011696355439891,0.0018442407130659,0.0010908347904316
Oregon,2493432,2559698,2658285,56507,61646,62303,78.8,79.6,79.7,0.493,0.057,0.208,0.162,0.009,0.071,0.473,0.056,0.238,0.163,0.009,0.061,45.41,3831074,4237256,40.6,11.2,189.6,27.6,5.5,2.7,7.5,13127.0,311.2,12084.0,286.5,1042.0,24.7,2709,690,1848,6982,16349,15310,201257,1108040,162469,239733,74.1,95.0,66.5,89.2,39.4,55.9,66.6,318776,1755060,217336,343034,81.2,95.0,72.1,94.1,58.4,72.3,80.1,59.8,66.5,42.6,False,201257,1108040,162469,239733,74.1,95.0,66.5,89.2,39.4,55.9,66.6,318776,1755060,217336,343034,81.2,95.0,72.1,94.1,58.4,72.3,80.1,59.8,66.5,42.6,07/01/2020,1,35.14511047,62.07507822,26.34,0.22,8.96,5.62,3.21,1.03,2.78,65.05,78.51,77.36,50.35,25.57,3.56,1.39,1.73,2809,6833,6013,1445,4150,2729,0.0003410225863152,0.0009794074278259,0.0006440488844667
Pennsylvania,7412855,7650343,7978320,60320,64042,64506,76.8,78.3,78.1,0.518,0.051,0.202,0.163,0.008,0.057,0.516,0.053,0.208,0.163,0.005,0.054,292.62,12702379,13002700,45.2,11.2,221.6,29.5,6.3,2.6,9.2,42051.0,328.5,36134.0,282.3,5916.0,46.2,9300,3981,357,39980,40867,25054,200560,1072790,157190,246969,78.3,95.0,63.9,91.0,32.0,45.2,55.0,317009,1695670,210326,345223,90.1,95.0,72.9,95.0,47.0,60.4,68.3,47.8,55.0,40.4,False,200560,1072790,157190,246969,78.3,95.0,63.9,91.0,32.0,45.2,55.0,317009,1695670,210326,345223,90.1,95.0,72.9,95.0,47.0,60.4,68.3,47.8,55.0,40.4,07/01/2020,1,40.30827695,59.68791472,20.67,0.94,6.96,3.54,5.81,0.65,2.43,72.12,74.82,79.91,63.97,23.24,4.53,1.52,0.26,18904,19462,11542,16732,17519,9572,0.0012868096626085,0.001347335553385,0.0007361547986187
Rhode Island,615668,640257,668802,59066,63663,63557,78.2,79.5,79.8,0.54,0.059,0.205,0.146,0.008,0.043,0.505,0.056,0.239,0.151,0.005,0.043,1074.3,1052567,1097379,48.8,11.2,201.8,30.3,6.2,2.2,9.1,4063.0,383.5,3805.0,359.2,257.0,24.3,1068,942,945,3531,2168,1185,215457,1220270,184847,271955,89.3,95.0,76.6,95.0,42.5,59.9,70.7,319220,1807950,246414,383600,95.0,95.0,87.4,95.0,57.8,73.1,80.8,53.5,63.1,53.3,False,215457,1220270,184847,271955,89.3,95.0,76.6,95.0,42.5,59.9,70.7,319220,1807950,246414,383600,95.0,95.0,87.4,95.0,57.8,73.1,80.8,53.5,63.1,53.3,05-08-2020,1,39.59582032,74.10668996,22.94,1.98,5.35,6.08,4.19,3.01,1.92,75.18,77.61,75.96,71.56,21.98,4.92,0.15,0.58,1663,987,546,1458,793,453,0.0013286202852432,0.0007226309233181,0.0004128017758677
South Carolina,2825233,2938337,3067127,48772,52828,53618,74.8,76.8,76.5,0.454,0.061,0.188,0.168,0.022,0.108,0.439,0.068,0.201,0.17,0.022,0.1,175.19,4625364,5118425,40.0,9.6,223.7,34.6,7.4,2.6,11.6,12197.0,236.9,11364.0,220.7,833.0,16.2,1383,2967,888,20713,26110,15145,171136,940350,130744,229686,62.9,95.0,53.2,85.2,31.4,44.6,55.0,262622,1443040,165534,300689,70.7,95.0,59.7,91.4,44.4,59.2,68.5,42.9,49.3,29.9,False,171136,940350,130744,229686,62.9,95.0,53.2,85.2,31.4,44.6,55.0,262622,1443040,165534,300689,70.7,95.0,59.7,91.4,44.4,59.2,68.5,42.9,49.3,29.9,,0,48.18559621,51.44569933,29.42,0.25,10.17,6.69,6.24,1.65,0.74,65.56,72.77,82.21,41.02,30.59,5.07,1.25,1.12,8707,11821,6457,5408,9353,4226,0.0010565750206362,0.0018273199275167,0.000825644607472
South Dakota,606246,625510,647960,59465,65421,68176,76.7,78.4,78.9,0.515,0.083,0.128,0.161,0.018,0.096,0.498,0.088,0.138,0.155,0.027,0.094,11.98,814180,886667,47.0,8.5,208.4,28.2,5.2,2.6,9.3,2214.0,250.3,2017.0,228.0,197.0,22.3,1155,660,774,3787,1823,1389,178745,1041200,142963,247962,71.0,95.0,57.2,91.6,34.4,49.5,58.8,288741,1681940,187243,342609,83.4,95.0,66.0,95.0,46.3,60.4,67.7,46.9,54.1,43.7,False,178745,1041200,142963,247962,71.0,95.0,57.2,91.6,34.4,49.5,58.8,288741,1681940,187243,342609,83.4,95.0,66.0,95.0,46.3,60.4,67.7,46.9,54.1,43.7,,0,42.34648139,43.49719777,33.36,0.83,5.65,3.29,5.24,0.12,0.0,53.65,68.07,72.54,28.52,38.99,6.61,1.34,0.9,1762,846,616,1499,715,459,0.0016906008681951,0.0008063906742892,0.0005176689783199
Tennessee,4121045,4301472,4506394,51928,56970,58292,73.8,75.6,75.5,0.478,0.056,0.195,0.15,0.018,0.102,0.476,0.06,0.196,0.15,0.017,0.101,171.71,6346105,6910840,38.8,8.8,262.5,36.4,8.9,3.3,12.1,17687.0,259.0,16722.0,244.9,965.0,14.1,4128,4860,1743,24589,35606,17921,159221,950983,130986,233416,58.8,90.3,51.4,82.7,35.4,49.3,60.1,241512,1442480,163609,304337,64.3,94.4,56.2,86.6,47.8,62.5,72.1,46.3,53.3,27.4,False,159221,950983,130986,233416,58.8,90.3,51.4,82.7,35.4,49.3,60.1,241512,1442480,163609,304337,64.3,94.4,56.2,86.6,47.8,62.5,72.1,46.3,53.3,27.4,,0,50.274755,62.59111409,33.1,1.27,7.11,6.52,7.36,1.71,1.17,67.95,77.09,82.4,52.28,28.59,4.56,1.68,1.06,10623,16291,8144,7280,13267,6511,0.0010534175295622,0.0019197376874591,0.0009421430679917
Texas,17700743,18559325,19631436,55118,60548,62586,76.5,78.6,78.4,0.476,0.057,0.159,0.109,0.016,0.184,0.461,0.06,0.169,0.111,0.018,0.18,116.16,25145561,29145505,39.4,7.0,217.5,31.2,5.1,3.3,11.9,67182.0,231.7,62219.0,214.6,4960.0,17.1,6144,12420,3918,94249,125095,66605,178946,1389500,140066,228468,66.8,94.4,57.0,84.3,28.1,43.6,53.6,266152,2066640,177556,299738,76.0,95.0,63.0,88.7,39.9,58.0,67.5,45.6,53.1,28.5,False,178946,1389500,140066,228468,66.8,94.4,57.0,84.3,28.1,43.6,53.6,266152,2066640,177556,299738,76.0,95.0,63.0,88.7,39.9,58.0,67.5,45.6,53.1,28.5,07/03/2020,1,43.30805631,62.2331859,25.39,1.28,8.82,6.16,6.87,1.17,1.44,69.14,74.49,82.3,59.43,22.14,4.69,0.98,1.94,42097,57957,28393,32042,48776,18564,0.0010993805048154,0.0016735342208,0.0006369421288119
Utah,2135748,2250031,2367996,51751,57042,59457,78.6,79.7,79.6,0.605,0.093,0.093,0.1,0.012,0.096,0.593,0.09,0.11,0.102,0.013,0.091,41.67,2763885,3271616,41.8,9.8,193.0,26.9,4.3,2.6,8.3,7198.0,224.5,6515.0,203.2,683.0,21.3,558,825,570,5590,7621,4665,168469,1476220,141059,247109,67.4,95.0,58.8,90.3,30.1,50.3,61.8,251943,2207660,188314,346806,75.0,95.0,66.5,95.0,49.5,69.7,78.3,51.2,59.2,40.2,False,168469,1476220,141059,247109,67.4,95.0,58.8,90.3,30.1,50.3,61.8,251943,2207660,188314,346806,75.0,95.0,66.5,95.0,49.5,69.7,78.3,51.2,59.2,40.2,11/09/2020,1,46.20043275,61.14368281,38.57,1.89,15.14,11.04,8.74,2.48,4.79,56.54,69.41,79.57,37.3,33.05,8.35,3.1,0.06,2361,3342,1946,1493,2405,1173,0.0004563494004186,0.0007351107220407,0.0003585384103757
Vermont,409316,421226,436306,57978,61214,63039,78.8,79.8,79.3,0.484,0.048,0.239,0.175,0.01,0.044,0.483,0.053,0.246,0.176,0.0,0.033,70.34,625741,643077,44.8,12.1,200.5,26.8,5.7,2.0,7.4,2410.0,386.2,2312.0,370.5,98.0,15.7,603,630,339,1450,2849,2600,228605,1140820,200859,292154,89.5,95.0,77.5,95.0,49.2,65.4,74.4,391779,1955120,275383,423877,95.0,95.0,85.3,95.0,66.1,78.7,85.2,61.4,70.4,61.3,False,228605,1140820,200859,292154,89.5,95.0,77.5,95.0,49.2,65.4,74.4,391779,1955120,275383,423877,95.0,95.0,85.3,95.0,66.1,78.7,85.2,61.4,70.4,61.3,08/01/2020,1,31.30160466,71.51676103,29.04,2.61,6.58,3.93,3.38,0.4,0.62,73.73,80.26,80.12,60.08,23.48,6.59,0.22,0.0,520,1029,993,110,238,378,0.0001710526111181,0.00037009564951,0.0005877989727513
