Location,Employment_2020,Employment_2021,Employment_2022,Inc_Per_Cap_2020,Inc_Per_Cap_2021,Inc_Per_CAp_2022,Life_Exp_2020,Life_Exp_2019,Life_Exp_2018,Employer_2019,Non-Group_2019,Medicaid_2019,Medicare_2019,Military_2019,Uninsured_2019,Employer_2021,Non-Group_2021,Medicaid_2021,Medicare_2021,Military_2021,Uninsured_2021,Population Density per mi²,2010 Population,2020 Population,flu_vaccination_rate_2019,asthma_prevalence,cardiac_mortality_rate,high_bp_prevalence,copd_prevalence,kidney_disease_prevalence,diabetes_prevalence,Physicians,Physicians Rate,Active MO,Active MO Rate,Active DO,Active DO Rate,Exc_deaths_2017,Exc_deaths_2018,Exc_deaths_2019,Exc_deaths_2020,Exc_deaths_2021,Exc_deaths_2022,Dist_Per_100K_2021_x,Distributed_Per_100k_65Plus_2021_x,Admin_Per_100K_2021_x,Admin_Per_100k_65Plus_2021_x,Administered_Dose1_Pop_Pct_2021_x,Administered_Dose1_Recip_65PlusPop_Pct_2021_x,Series_Complete_Pop_Pct_2021_x,Series_Complete_65PlusPop_Pct_2021_x,Additional_Doses_Vax_Pct_2021_x,Additional_Doses_50Plus_Vax_Pct_2021_x,Additional_Doses_65Plus_Vax_Pct_2021_x,Dist_Per_100K_2022_x,Distributed_Per_100k_65Plus_2022_x,Admin_Per_100K_2022_x,Admin_Per_100k_65Plus_2022_x,Administered_Dose1_Pop_Pct_2022_x,Administered_Dose1_Recip_65PlusPop_Pct_2022_x,Series_Complete_Pop_Pct_2022_x,Series_Complete_65PlusPop_Pct_2022_x,Additional_Doses_Vax_Pct_2022_x,Additional_Doses_50Plus_Vax_Pct_2022_x,Additional_Doses_65Plus_Vax_Pct_2022_x,Second_Booster_50Plus_Vax_Pct_x,Second_Booster_65Plus_Vax_Pct_x,Bivalent_Booster_65Plus_Pop_Pct_x,astha_prevalence,Dist_Per_100K_2021_y,Distributed_Per_100k_65Plus_2021_y,Admin_Per_100K_2021_y,Admin_Per_100k_65Plus_2021_y,Administered_Dose1_Pop_Pct_2021_y,Administered_Dose1_Recip_65PlusPop_Pct_2021_y,Series_Complete_Pop_Pct_2021_y,Series_Complete_65PlusPop_Pct_2021_y,Additional_Doses_Vax_Pct_2021_y,Additional_Doses_50Plus_Vax_Pct_2021_y,Additional_Doses_65Plus_Vax_Pct_2021_y,Dist_Per_100K_2022_y,Distributed_Per_100k_65Plus_2022_y,Admin_Per_100K_2022_y,Admin_Per_100k_65Plus_2022_y,Administered_Dose1_Pop_Pct_2022_y,Administered_Dose1_Recip_65PlusPop_Pct_2022_y,Series_Complete_Pop_Pct_2022_y,Series_Complete_65PlusPop_Pct_2022_y,Additional_Doses_Vax_Pct_2022_y,Additional_Doses_50Plus_Vax_Pct_2022_y,Additional_Doses_65Plus_Vax_Pct_2022_y,Second_Booster_50Plus_Vax_Pct_y,Second_Booster_65Plus_Vax_Pct_y,Bivalent_Booster_65Plus_Pop_Pct_y,Mask_Mandate,Mandatory,Current President,Your State Governor,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,"Been in a room with someone outside of 
 household in the past 24 hours","Yes, 5-10 people","Yes, 11-50 people","Yes, 50 or more people",all_causes_2020,all_causes_2021,all_causes_2022,covid_2020,covid_2021,covid_2022,Covid_pop_perce_2020,Covid_pop_perce_2021,Covid_pop_perce_2022
Hawaii,817697,861096,903622,57036,61464,61779,80.7,80.9,81.0,0.543,0.041,0.176,0.159,0.04,0.041,0.51,0.045,0.204,0.161,0.044,0.037,231.01,1360301,1455271,42.1,9.7,169.8,27.7,4.0,2.6,9.3,4557.0,321.9,4293.0,303.2,264.0,18.6,1239,1038,1032,1011,2323,2781,210350,1109450,158566,227844,88.3,95.0,63.6,90.1,18.1,26.3,32.4,314206,1657220,243766,361375,91.1,95.0,81.3,95.0,59.2,77.0,84.5,58.2,66.3,45.6,False,210350,1109450,158566,227844,88.3,95.0,63.6,90.1,18.1,26.3,32.4,314206,1657220,243766,361375,91.1,95.0,81.3,95.0,59.2,77.0,84.5,58.2,66.3,45.6,03/16/2020,1,32.42392505,39.73172224,32.24,0.0,9.02,3.94,6.61,0.76,2.02,66.93,77.33,84.48,72.97,24.95,7.0,2.46,0.79,414,969,1099,231,584,516,0.0001587333218349,0.0004012998266302,0.0003545731344883
Idaho,1077864,1137618,1190624,49691,54148,56614,78.4,79.5,79.0,0.49,0.086,0.156,0.15,0.014,0.105,0.479,0.066,0.201,0.149,0.018,0.085,23.24,1567582,1839106,36.5,9.9,197.4,28.7,4.7,2.7,9.3,3504.0,196.1,2973.0,166.4,531.0,29.7,1377,1017,759,4173,7668,4608,160253,985248,113396,228087,52.2,92.8,46.3,84.8,38.4,51.2,60.6,253902,1561010,158773,309595,63.7,95.0,56.3,90.3,48.3,64.5,72.6,52.5,59.3,37.7,False,160253,985248,113396,228087,52.2,92.8,46.3,84.8,38.4,51.2,60.6,253902,1561010,158773,309595,63.7,95.0,56.3,90.3,48.3,64.5,72.6,52.5,59.3,37.7,,0,52.36569966,64.50554521,32.86,1.2,12.32,6.43,7.32,1.3,1.64,54.46,66.59,74.45,30.09,31.51,4.94,2.72,0.81,1849,3388,1862,1374,2496,978,0.0007471021246192,0.0013571811521467,0.0005317801149036
Illinois,7519019,7749727,8094358,61587,67278,67655,76.8,79.0,78.8,0.546,0.052,0.182,0.141,0.007,0.073,0.532,0.052,0.198,0.143,0.007,0.069,230.68,12830632,12812508,37.3,8.3,216.4,29.7,5.3,2.4,10.0,37122.0,292.9,34485.0,272.1,2630.0,20.8,6921,5814,807,46827,29262,28831,183299,1136790,156557,237033,72.2,95.0,64.2,86.7,38.8,56.0,67.9,288727,1790640,208022,333360,78.9,95.0,71.0,91.1,56.6,73.2,82.2,56.6,64.9,44.6,False,183299,1136790,156557,237033,72.2,95.0,64.2,86.7,38.8,56.0,67.9,288727,1790640,208022,333360,78.9,95.0,71.0,91.1,56.6,73.2,82.2,56.6,64.9,44.6,6/26/2020,1,36.43386614,63.36883173,24.87,2.18,7.1,5.67,2.99,1.28,2.07,65.83,73.38,81.17,52.97,21.41,4.54,1.66,0.53,20976,13228,12417,16101,10422,8420,0.0012566626299862,0.0008134238823499,0.0006571703213765
Indiana,3843114,3978425,4140665,51719,56934,58323,75.0,77.0,76.8,0.533,0.044,0.177,0.148,0.01,0.088,0.525,0.045,0.198,0.148,0.009,0.075,191.93,6483802,6785528,40.3,9.8,238.5,32.4,8.3,3.1,11.2,15918.0,236.4,14662.0,217.8,1255.0,18.6,5727,3183,777,23626,23137,14515,164117,1017620,126875,231423,58.0,91.1,52.1,85.6,35.6,49.2,59.6,266356,1651560,163521,310634,64.2,95.0,57.6,89.6,50.6,65.4,74.9,44.4,52.2,28.7,False,164117,1017620,126875,231423,58.0,91.1,52.1,85.6,35.6,49.2,59.6,266356,1651560,163521,310634,64.2,95.0,57.6,89.6,50.6,65.4,74.9,44.4,52.2,28.7,07/27/2020,1,52.74706422,70.95425228,30.02,1.28,8.68,6.73,4.59,0.9,1.28,66.99,74.87,80.7,48.95,25.69,6.37,1.23,1.23,10890,10627,6618,9044,8744,5339,0.0013328365898718,0.0012886248498274,0.0007868216003235
Iowa,2009821,2053873,2113995,52586,58049,60222,77.5,79.0,79.2,0.544,0.049,0.195,0.156,0.009,0.047,0.533,0.053,0.2,0.156,0.008,0.049,57.89,3046355,3190369,46.7,8.1,222.4,29.2,5.5,1.9,9.1,7056.0,223.6,5669.0,179.7,1387.0,44.0,2907,1899,1662,10192,6274,5353,179396,1023610,146949,255858,65.0,95.0,59.0,91.5,44.7,62.1,73.0,282158,1609950,190630,356667,70.4,95.0,64.2,95.0,57.1,73.6,82.2,58.8,67.6,49.8,False,179396,1023610,146949,255858,65.0,95.0,59.0,91.5,44.7,62.1,73.0,282158,1609950,190630,356667,70.4,95.0,64.2,95.0,57.1,73.6,82.2,58.8,67.6,49.8,11/17/2020,1,44.40731976,53.0179294,31.21,1.28,7.8,3.86,6.71,0.86,0.68,59.68,69.0,74.2,35.61,31.56,6.08,1.04,1.05,4774,2888,2401,4130,2390,1850,0.0012945211039851,0.0007491296461318,0.0005798702281773
Kansas,1878887,1920925,1982258,55041,58569,60424,76.4,78.2,78.0,0.543,0.056,0.139,0.15,0.02,0.092,0.53,0.06,0.152,0.147,0.019,0.092,36.24,2853118,2937880,44.6,10.0,216.8,31.6,6.0,2.5,9.8,6874.0,236.0,6054.0,207.8,820.0,28.1,2109,1428,975,8947,7999,7332,178349,1092740,140263,241990,69.4,95.0,57.1,88.2,33.8,48.5,58.3,273256,1674240,181329,327654,75.9,95.0,65.0,95.0,48.7,64.1,72.8,51.2,59.1,39.7,False,178349,1092740,140263,241990,69.4,95.0,57.1,88.2,33.8,48.5,58.3,273256,1674240,181329,327654,75.9,95.0,65.0,95.0,48.7,64.1,72.8,51.2,59.1,39.7,07/02/2020,1,48.28963642,68.61736351,28.13,1.03,10.15,5.21,5.42,0.38,0.86,66.13,71.45,83.33,47.42,29.66,4.43,2.39,0.73,4044,3737,3200,3185,3212,2268,0.0010841150761773,0.0010933053766661,0.0007719852410581
Kentucky,2471693,2558304,2658979,47026,51561,51921,73.5,75.5,75.3,0.47,0.039,0.255,0.158,0.014,0.064,0.445,0.043,0.289,0.154,0.012,0.056,115.38,4339367,4505836,40.2,9.3,253.8,38.0,9.7,3.5,11.7,10528.0,235.6,9758.0,218.4,770.0,17.2,2790,1716,783,13714,22053,13818,166704,992294,132155,225141,62.5,94.8,54.3,84.5,35.6,50.1,60.7,259400,1544060,165467,296677,68.6,95.0,59.4,89.1,48.2,63.0,72.3,47.1,54.6,32.5,False,166704,992294,132155,225141,62.5,94.8,54.3,84.5,35.6,50.1,60.7,259400,1544060,165467,296677,68.6,95.0,59.4,89.1,48.2,63.0,72.3,47.1,54.6,32.5,07/09/2020,1,53.5164255,78.97322561,28.56,1.36,7.1,5.0,3.91,2.48,1.15,67.8,72.6,81.01,43.28,30.03,5.39,1.43,0.11,5977,10033,6307,4217,8046,5102,0.0009358973562286,0.0017856841660459,0.0011323092984298
Louisiana,2592841,2694974,2784711,50243,54531,54501,73.1,75.7,75.6,0.418,0.049,0.293,0.137,0.014,0.089,0.407,0.047,0.32,0.136,0.015,0.075,108.67,4533372,4657757,36.8,7.8,264.0,37.7,8.2,3.8,11.4,12557.0,270.1,12261.0,263.7,296.0,6.4,3459,4914,2127,22368,23153,10601,147839,927469,121579,222462,57.5,89.9,50.3,84.9,30.9,44.3,55.2,214189,1343710,147782,277229,62.7,92.6,54.9,87.2,42.9,59.0,69.2,38.9,45.2,20.5,False,147839,927469,121579,222462,57.5,89.9,50.3,84.9,30.9,44.3,55.2,214189,1343710,147782,277229,62.7,92.6,54.9,87.2,42.9,59.0,69.2,38.9,45.2,20.5,07/11/2020,1,51.77452449,68.13177778,26.95,0.68,12.57,5.3,7.4,1.14,3.52,64.0,70.7,77.88,48.33,28.95,6.11,1.54,0.14,9739,10065,4467,6849,7042,2800,0.001470450261789,0.0015118865153334,0.0006011477198144
Maine,813101,849493,877326,54301,58687,60599,77.8,78.3,78.6,0.465,0.057,0.2,0.183,0.015,0.081,0.487,0.066,0.195,0.185,0.014,0.054,44.5,1328361,1362359,42.6,12.4,187.6,31.5,7.8,2.5,8.7,4459.0,331.7,3691.0,274.6,768.0,57.1,1017,561,639,1769,4347,3875,216432,1019860,187260,271903,86.0,95.0,75.9,95.0,44.5,60.4,70.2,351059,1654240,257280,411177,95.0,95.0,83.0,95.0,60.6,73.8,81.4,61.9,71.1,62.8,False,216432,1019860,187260,271903,86.0,95.0,75.9,95.0,44.5,60.4,70.2,351059,1654240,257280,411177,95.0,95.0,83.0,95.0,60.6,73.8,81.4,61.9,71.1,62.8,05/01/2020,1,44.42328649,69.00011156,29.26,0.97,7.47,2.24,2.98,0.53,0.82,65.21,80.31,79.76,47.47,26.73,3.55,1.26,0.63,699,1849,1608,328,1200,949,0.0002407588601829,0.0008808250982303,0.0006965858485171
Maryland,3621705,3750161,3886891,64825,69052,70228,76.8,78.5,78.5,0.547,0.054,0.187,0.133,0.019,0.059,0.53,0.056,0.203,0.132,0.019,0.061,648.84,5773552,6177224,47.9,9.1,217.9,31.7,4.9,2.5,9.8,23791.0,393.5,22915.0,379.0,876.0,14.5,3399,2790,849,17226,10650,5987,219723,1384600,173151,251393,80.6,95.0,70.5,92.5,38.0,55.0,66.1,352096,2218750,238425,369914,91.3,95.0,79.4,95.0,56.3,72.1,80.0,59.5,68.4,49.6,False,219723,1384600,173151,251393,80.6,95.0,70.5,92.5,38.0,55.0,66.1,352096,2218750,238425,369914,91.3,95.0,79.4,95.0,56.3,72.1,80.0,59.5,68.4,49.6,07/31/2020,1,37.82593525,78.18148216,22.63,0.99,5.46,4.62,4.53,2.09,2.24,75.35,84.12,80.41,71.63,21.26,3.53,0.93,0.35,7822,5131,2918,6240,4743,2767,0.0010101624937026,0.000767820626223,0.0004479358365505
