FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Percent Uninsured,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Number pre-mature Deaths,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,State,cases_2022,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
19043,5135.0,13,15,34,8.6,24,20,6.0,34.0,4067.0,48.0,92.0,60,4.0,3.9,9.4,No,10,8,1,1,81.3,201.0,9,54.0,11,26,6.0,6.0,54740.0,40.0,17637,21.4,22.9,0.7,0.2,0.3,0.1,1.9,96.1,1,49.7,17512.0,IA,3969.394913266584,82.0,45.5,78.2
19045,6834.0,15,16,32,7.8,27,19,4.0,53.0,5535.0,56.0,92.0,66,4.1,4.6,10.4,Yes,11,10,1,1,78.1,633.0,10,88.0,13,32,5.0,2.0,50729.0,41.0,47010,23.1,19.3,3.2,0.4,0.6,0.0,3.2,91.1,0,51.0,15832.0,IA,13614.044813268802,82.0,51.3,88.0
19047,6830.0,18,16,33,7.9,27,20,9.0,24.0,3608.0,44.0,91.0,48,4.1,4.2,8.8,No,11,8,3,1,78.8,195.0,12,72.0,11,29,11.0,5.0,53806.0,33.0,17056,25.1,17.5,2.9,1.3,2.3,0.3,27.9,66.0,8,48.3,8856.0,IA,4941.378508242289,82.0,49.9,84.3
19049,4033.0,11,13,28,9.1,19,23,4.0,63.0,3922.0,56.0,97.0,85,2.1,3.9,9.2,No,9,8,1,1,82.6,550.0,8,66.0,8,26,5.0,2.0,90133.0,33.0,87235,28.1,11.8,2.0,0.4,4.8,0.1,6.1,85.5,2,50.7,20228.0,IA,26434.1030160979,82.0,60.3,91.9
19057,6976.0,15,18,34,7.3,25,19,5.0,68.0,4273.0,53.0,81.0,69,4.3,4.2,10.7,No,13,11,2,1,78.8,538.0,12,84.0,14,30,6.0,2.0,50773.0,41.0,39417,22.6,20.2,5.7,0.3,1.0,0.1,3.1,87.4,0,51.2,10781.0,IA,10921.87689243028,82.0,48.2,83.2
19059,5891.0,11,13,31,8.6,23,20,4.0,75.0,2431.0,58.0,94.0,75,3.7,4.3,8.0,Yes,10,9,1,1,80.7,203.0,10,41.0,10,25,5.0,2.0,56496.0,64.0,17199,19.4,25.4,0.4,0.2,0.6,0.0,2.0,95.9,0,50.0,5841.0,IA,4639.388364758944,82.0,55.4,87.1
19061,5351.0,12,14,30,8.1,24,23,4.0,75.0,8325.0,55.0,92.0,74,3.0,4.0,10.1,No,13,11,1,1,80.5,913.0,9,77.0,12,28,5.0,2.0,60936.0,46.0,97041,23.1,17.4,3.5,0.3,1.4,0.4,2.5,90.7,0,50.6,25302.0,IA,30395.18983445692,82.0,60.1,97.4
19065,5975.0,12,16,34,8.4,29,19,5.0,35.0,2381.0,34.0,95.0,66,3.7,3.8,9.4,No,12,10,1,2,78.7,274.0,11,29.0,12,28,6.0,3.0,46389.0,33.0,19796,20.6,21.1,1.3,0.3,1.2,0.1,2.3,93.8,0,49.5,14737.0,IA,4824.442193041676,82.0,51.3,91.3
19073,7345.0,13,15,36,8.4,29,19,5.0,44.0,3216.0,57.0,85.0,68,2.8,4.1,8.8,No,14,13,1,2,78.1,125.0,13,66.0,11,28,6.0,3.0,52459.0,55.0,8981,23.1,21.8,0.4,0.5,0.6,0.1,3.0,94.4,1,50.6,5430.0,IA,2011.200010776306,82.0,54.5,93.1
19079,5952.0,12,15,32,8.3,22,20,5.0,40.0,5557.0,62.0,95.0,72,3.3,3.8,9.1,No,13,11,1,0,80.2,177.0,11,71.0,11,28,6.0,3.0,57106.0,30.0,15115,22.9,20.0,1.0,0.5,2.2,0.0,6.4,88.7,1,50.4,7912.0,IA,3920.332443654182,82.0,58.2,88.8
19083,5440.0,13,14,36,8.6,21,21,5.0,46.0,2819.0,60.0,94.0,70,3.2,4.1,9.2,No,8,6,1,1,79.9,215.0,10,61.0,10,28,6.0,3.0,52662.0,17.0,17048,20.3,21.5,1.4,0.4,0.9,0.0,4.3,92.0,1,49.7,12464.0,IA,4951.379093332319,82.0,51.8,85.5
19085,6218.0,13,14,34,8.3,25,19,5.0,35.0,3955.0,36.0,96.0,71,2.7,4.3,8.9,No,11,9,1,1,78.4,190.0,12,42.0,11,30,6.0,3.0,55835.0,28.0,14136,23.1,19.6,0.4,0.4,0.3,0.0,1.8,96.2,0,50.1,12109.0,IA,3769.316151147201,82.0,49.7,88.5
19087,5949.0,15,17,34,7.6,25,21,5.0,81.0,4208.0,53.0,89.0,63,3.0,3.7,10.3,No,11,9,1,2,79.1,246.0,10,60.0,12,31,6.0,3.0,53670.0,46.0,19863,21.9,18.7,2.4,0.4,2.5,0.1,4.9,88.3,1,48.5,11509.0,IA,6385.44903409433,82.0,50.7,85.7
19095,6605.0,12,14,34,8.6,21,20,4.0,80.0,3894.0,50.0,96.0,71,2.6,3.8,9.9,Yes,8,6,1,1,79.4,172.0,10,59.0,10,26,5.0,3.0,64091.0,27.0,16103,23.4,18.6,0.6,0.3,0.4,0.0,2.8,95.2,0,50.2,13441.0,IA,4251.364196040025,82.0,58.6,93.7
19097,6161.0,12,15,31,7.9,31,20,5.0,36.0,4569.0,54.0,91.0,67,3.4,4.0,10.2,Yes,10,8,1,1,79.5,238.0,10,30.0,12,27,6.0,3.0,53539.0,47.0,19366,22.4,20.7,0.8,0.3,0.4,0.7,1.5,95.3,0,50.0,10573.0,IA,5442.43744481105,82.0,49.5,85.6
