FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation index black/white,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct,water,cases,deaths
1033,10332.0,20,18,33,7.4,33,16,68.0,6478.0,47.0,92.0,56,5.2,4.9,10.7,15,13,1,1,74.9,18,93.0,15,37,12.0,3.0,46100.0,26.0,25.0,54500,21.0,19.6,16.1,0.6,0.6,0.1,2.6,78.5,0,52.0,23891.0,267.0,49.4,82.5,0,20165.0,275.0
1035,10635.0,29,23,39,5.2,35,11,48.0,11309.0,44.0,80.0,35,6.1,4.9,10.3,17,13,2,4,75.0,20,262.0,24,42,16.0,3.0,30796.0,22.0,19.0,12469,21.0,21.9,46.2,0.5,0.2,0.0,2.0,49.9,0,52.0,10708.0,267.0,47.9,76.0,0,3410.0,75.0
1039,11346.0,22,21,33,7.5,33,15,51.0,8193.0,44.0,95.0,53,5.2,4.6,10.5,14,10,2,2,74.2,15,170.0,16,36,16.0,3.0,39093.0,40.0,36.0,37092,21.8,20.7,12.4,0.7,0.5,0.0,1.7,83.4,0,51.8,26304.0,267.0,40.4,72.8,0,11250.0,256.0
1041,9259.0,22,20,38,6.2,30,14,14.0,6215.0,37.0,89.0,44,4.5,5.8,10.7,10,9,1,0,74.8,16,198.0,17,38,15.0,3.0,38419.0,18.0,18.0,13871,23.1,18.7,23.3,0.6,1.1,0.0,2.1,71.2,1,51.6,13906.0,267.0,36.0,70.1,0,4516.0,108.0
1043,10008.0,21,20,35,8.3,33,16,58.0,6303.0,41.0,91.0,51,3.7,4.6,11.6,14,12,2,1,74.7,16,76.0,12,35,17.0,3.0,45925.0,78.0,22.0,82755,22.5,18.3,1.2,0.6,0.6,0.1,4.3,92.1,1,50.6,58889.0,267.0,39.3,73.3,0,30119.0,391.0
1045,9637.0,23,19,37,6.7,29,14,16.0,5162.0,43.0,90.0,58,4.4,5.2,11.0,13,11,1,1,75.4,16,273.0,17,41,14.0,3.0,42572.0,32.0,28.0,49226,23.1,16.3,20.4,0.9,1.4,0.2,6.5,68.6,1,50.7,25572.0,267.0,51.6,79.0,0,15789.0,245.0
1047,13924.0,29,22,42,4.3,28,12,75.0,6574.0,34.0,86.0,49,7.5,6.5,11.1,23,19,6,1,71.7,17,415.0,30,42,14.0,2.0,31329.0,50.0,49.0,39215,24.3,17.3,70.1,0.3,0.5,0.0,1.1,27.3,0,53.9,19999.0,267.0,48.3,82.6,0,10357.0,256.0
1049,10995.0,23,22,30,8.4,31,15,42.0,5204.0,42.0,93.0,44,4.5,4.7,11.3,13,10,3,1,74.2,12,77.0,12,36,22.0,4.0,39906.0,55.0,31.0,71617,24.5,16.8,1.5,2.0,0.5,0.6,14.8,80.2,3,50.3,64091.0,267.0,34.6,64.5,0,21738.0,344.0
1051,8400.0,19,19,36,7.6,28,17,27.0,6057.0,40.0,86.0,52,3.6,4.4,11.9,11,9,1,1,76.1,15,229.0,14,38,11.0,2.0,59652.0,29.0,30.0,81677,22.3,14.7,21.1,0.5,0.7,0.1,3.0,73.2,1,51.5,42973.0,267.0,46.1,89.6,0,28545.0,360.0
1053,11921.0,24,21,38,6.5,30,13,40.0,7620.0,35.0,88.0,38,5.0,5.6,10.2,12,9,2,2,72.9,18,226.0,20,40,17.0,3.0,37870.0,35.0,33.0,37447,22.2,17.3,31.8,3.7,0.3,0.1,2.3,60.1,1,48.8,24337.0,267.0,39.7,84.0,0,11863.0,178.0
1055,11761.0,23,23,36,7.1,33,14,79.0,7165.0,36.0,90.0,53,4.6,4.7,11.5,12,10,2,1,73.1,15,187.0,15,41,15.0,3.0,41791.0,64.0,59.0,102755,21.6,18.6,15.5,0.6,0.8,0.3,3.8,78.0,1,51.6,39144.0,267.0,42.4,75.1,0,33129.0,686.0
1057,9664.0,20,20,38,7.9,35,15,115.0,5503.0,44.0,92.0,55,4.7,5.0,10.6,13,11,1,1,74.6,16,99.0,15,39,14.0,3.0,39394.0,51.0,51.0,16468,21.1,21.0,11.6,0.4,0.3,0.0,1.7,84.7,0,50.9,13833.0,267.0,34.7,63.8,0,5694.0,98.0
1059,10876.0,22,21,33,8.0,34,15,44.0,7810.0,38.0,92.0,42,4.2,4.3,10.5,12,8,3,1,74.1,14,46.0,13,38,17.0,4.0,41025.0,54.0,50.0,31495,24.6,16.5,3.9,1.5,0.3,0.3,17.0,76.9,5,49.7,22309.0,267.0,45.9,86.2,0,11566.0,149.0
1061,10643.0,24,22,38,7.9,32,15,26.0,5629.0,46.0,90.0,45,4.3,4.9,10.6,11,9,2,1,74.3,16,164.0,15,37,18.0,4.0,38561.0,17.0,18.0,26421,22.1,20.0,9.3,1.0,0.3,0.1,4.0,83.8,0,51.1,24015.0,267.0,39.2,76.5,0,7591.0,171.0
1063,12886.0,34,24,42,3.1,28,10,59.0,7559.0,28.0,78.0,47,7.7,5.6,10.5,18,14,4,2,73.9,19,397.0,31,45,14.0,2.0,28108.0,9.0,10.0,8330,21.9,21.3,79.5,0.3,0.3,0.0,1.5,17.7,0,52.8,9045.0,267.0,53.6,83.4,0,2194.0,53.0
1065,11902.0,27,22,42,6.1,31,13,13.0,6807.0,33.0,91.0,43,5.9,6.0,10.8,18,16,2,1,74.2,16,421.0,23,42,15.0,3.0,34905.0,33.0,32.0,14812,23.3,18.8,57.9,0.2,0.3,0.0,1.5,39.6,0,52.5,14053.0,267.0,61.6,88.2,0,5523.0,110.0
1067,9803.0,21,20,38,7.7,32,14,29.0,4305.0,42.0,98.0,58,4.9,5.1,10.9,11,10,1,1,75.6,17,164.0,16,38,15.0,3.0,48094.0,26.0,26.0,17147,20.7,22.2,26.2,0.5,0.4,0.0,2.7,68.9,0,51.7,15183.0,267.0,46.3,76.7,0,5574.0,79.0
1069,9377.0,24,22,36,7.0,29,16,86.0,5137.0,45.0,91.0,59,4.3,5.0,10.7,13,12,1,0,76.0,15,334.0,17,37,14.0,3.0,44753.0,48.0,44.0,104346,23.2,17.4,26.7,0.5,1.0,0.1,3.4,66.7,1,52.0,34327.0,267.0,43.5,78.2,0,31004.0,526.0
1071,11016.0,20,22,37,7.9,30,15,52.0,6730.0,43.0,90.0,44,4.8,5.1,11.0,10,8,1,1,73.7,16,70.0,14,38,16.0,3.0,42658.0,50.0,23.0,51909,21.1,19.5,3.4,1.6,0.6,0.1,3.0,89.2,0,50.9,40994.0,267.0,49.8,89.9,0,17525.0,253.0
1073,10995.0,20,18,33,6.2,28,16,108.0,4236.0,43.0,89.0,67,4.2,5.4,13.4,18,16,1,1,74.7,13,615.0,19,36,13.0,3.0,50731.0,65.0,61.0,659197,22.9,15.4,43.1,0.3,1.7,0.1,3.9,49.9,1,52.7,64752.0,267.0,59.8,93.8,0,225876.0,2485.0
1077,8951.0,19,19,35,7.5,28,15,51.0,5480.0,51.0,94.0,58,4.6,4.5,11.0,13,12,1,0,76.2,14,79.0,15,35,12.0,3.0,46646.0,44.0,41.0,92538,19.9,19.6,10.0,0.4,0.8,0.1,2.7,84.6,1,52.1,45701.0,267.0,49.4,82.1,0,29121.0,414.0
1079,11246.0,21,21,35,7.9,35,15,15.0,6598.0,39.0,88.0,50,4.9,5.0,11.3,11,10,2,1,74.0,15,86.0,15,39,18.0,4.0,42912.0,71.0,37.0,33049,21.6,18.2,10.7,5.8,0.2,0.0,2.2,76.6,0,51.3,31348.0,267.0,47.6,88.7,0,9102.0,179.0
1081,7085.0,19,19,31,6.4,22,18,52.0,3778.0,45.0,91.0,71,3.9,6.2,12.1,20,18,2,1,78.2,10,190.0,18,37,13.0,3.0,51372.0,34.0,29.0,161604,21.3,11.5,23.0,0.4,4.0,0.1,3.8,67.4,1,50.7,38441.0,267.0,38.7,68.1,0,45351.0,364.0
1083,7645.0,18,19,34,8.2,27,16,36.0,5951.0,44.0,92.0,57,4.0,5.1,11.8,11,9,2,1,77.8,12,134.0,12,37,14.0,3.0,57342.0,38.0,32.0,94402,22.8,14.9,13.2,0.8,1.6,0.2,6.1,76.5,1,49.8,47690.0,267.0,35.8,69.7,0,30685.0,311.0
1085,17068.0,30,22,46,4.5,33,11,10.0,5337.0,36.0,91.0,39,8.0,5.8,10.9,21,19,2,2,70.8,18,644.0,28,43,15.0,3.0,33130.0,20.0,20.0,10076,22.5,18.2,72.4,0.3,0.4,0.0,1.7,24.7,0,52.6,11299.0,267.0,53.3,87.3,0,3148.0,80.0
1087,11806.0,30,22,47,3.9,31,12,32.0,5299.0,33.0,80.0,52,5.8,6.4,11.7,21,19,2,1,74.1,19,439.0,27,46,13.0,2.0,30849.0,57.0,56.0,18755,17.3,19.4,80.5,0.2,0.6,0.0,1.8,15.7,0,54.4,11916.0,267.0,49.9,79.0,1,4941.0,90.0
1089,8015.0,15,16,32,7.5,22,16,88.0,5154.0,44.0,93.0,73,3.8,5.1,11.6,13,11,1,1,77.6,13,223.0,14,36,11.0,2.0,62750.0,48.0,41.0,361046,22.0,14.6,24.5,0.8,2.7,0.1,4.9,64.7,1,51.1,55048.0,267.0,60.9,92.6,1,111206.0,1046.0
